Species_pee,Phylo_order,Spec,Genus_Species,Bark,Ser,Grass,Resprout,Pyrophillic,Reference
rox_W401,65,roxburghii,Pinus_roxburghii,yes,no,no,no,yes,Wakimoto 2010; Turck 2015
rze_J024,109,rzedowskii,Pinus_rzedowskii,no,no,no,no,no,Farjon 2017
sab_W367,42,sabiniana,Pinus_sabiniana,yes,no,no,no,yes,FEIS 1990+
ser_W135,21,serotina,Pinus_serotina,no,yes,no,yes,yes,FEIS 1990+
sib_J036,83,sibirica,Pinus_sibirica,no,no,no,no,no,Weaver 1994
squ_W297,98,squamata,Pinus_squamata,no,no,no,no,no,Earle 1997+
str_W320,88,strobiformis,Pinus_strobiformis,no,no,no,no,no,FEIS 1990+
str_W267,92,strobus,Pinus_strobus,yes,no,no,no,yes,Heinselmann 1996
syl_W188,58,sylvestris,Pinus_sylvestris,yes,no,no,no,yes,FEIS 1990+
tab_W106,49,tabuliformis,Pinus_tabuliformis,no,no,no,no,no,Earle 1997+
tae_W274,18,taeda,Pinus_taeda,yes,no,no,no,yes,FEIS 1990+
tai_W128,47,taiwanensis,Pinus_taiwanensis,no,no,no,no,no,na;Earle 1997+
tec_W191,14,tecunumanii,Pinus_tecunumanii,no,yes,no,no,yes,perry 1991
teo_W184,11,teocote,Pinus_teocote,yes,yes,no,yes,yes,Rodriguez-Trejo and Fule 2003 
thu_W197,53,thunbergii,Pinus_thunbergii,no,no,no,no,no,Earle 1997+
tor_W167,43,torreyana,Pinus_torreyana,no,yes,no,no,yes,FEIS 1990+
vir_W295,26,virginiana,Pinus_tropicalis,yes,no,yes,yes,yes,Meyers and Rodriguez Trejo CH 20
wal_W160,81,wallichiana,Pinus_virginiana,no,no,no,no,no,FEIS 1990+
wan_L009,73,wangii,Pinus_wallichiana,no,no,no,no,no,Wakimoto 2010
was_W170,40,washoensis,Pinus_wangii,no,no,no,no,no,Earle 1997+
yun_W165,50,yunnanensis,Pinus_yunnanensis,no,yes,no,yes,yes,Pausas et al. 2021
smi_S005,118,smithiana,Picea_smithiana,no,no,no,no,no,others
abi_S002,117,abies,Picea_abies,no,no,no,no,no,others
arg_S001,115,argyrophylla,Cathaya_argyrophylla,no,no,no,no,no,others
bre_S003,116,breweriana,Picea_breweriana,no,no,no,no,no,others
