generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
4100000,Hesperocyparis_abramsiana,Juniperus_angosturana,263.896,0.232023,-0.00138986,0.173412,0
4100000,Podocarpus_nakaii,Podocarpus_angustifolius,251.143,0.0797886,0.00107815,0.000178323,0
4100000,Hesperocyparis_abramsiana,Podocarpus_nakaii,15.99,0.0805417,-0.000704835,0.063556,0
4200000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.135966,0.00252952,0.187283,0
4200000,Hesperocyparis_abramsiana,Juniperus_angosturana,256.437,0.168783,0.00427998,0.135603,0
4200000,Podocarpus_nakaii,Dacrydium_guillauminii,203.897,0.115704,0.000146635,0.0652492,0
4200000,Hesperocyparis_abramsiana,Podocarpus_nakaii,14.7659,0.0860685,-0.000708363,0.0630302,0
4300000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.167415,0.00278638,0.229684,0
4300000,Hesperocyparis_abramsiana,Juniperus_angosturana,263.092,0.176072,0.00736577,0.110421,0
4300000,Podocarpus_nakaii,Dacrydium_guillauminii,207.734,0.0606951,0.00766094,0.0327354,0
4300000,Hesperocyparis_abramsiana,Podocarpus_nakaii,30.9475,0.133644,-0.00161017,0.0925195,0
4400000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.15636,0.00165481,0.194601,0
4400000,Hesperocyparis_abramsiana,Juniperus_angosturana,267.487,0.159709,0.00507945,0.126783,0
4400000,Podocarpus_nakaii,Dacrydium_guillauminii,210.712,0.0794454,0.00446441,0.057463,0
4400000,Hesperocyparis_abramsiana,Podocarpus_nakaii,1.47545,0.0742275,-0.00076915,0.0575756,0
4400000,Tsuga_forrestii,Pseudolarix_amabilis,230.916,0.0550483,-0.000395224,0.0559462,0
4500000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.153129,0.00131959,0.179147,0
4500000,Hesperocyparis_abramsiana,Podocarpus_nakaii,9.92379,0.191786,-0.00124272,0.137213,0
4600000,Hesperocyparis_abramsiana,Abies_holophylla,0,0.0305229,0.000319953,0.0247512,0
4600000,Hesperocyparis_abramsiana,Juniperus_angosturana,265.951,0.286263,-0.00484081,0.171694,0
4600000,Podocarpus_nakaii,Dacrydium_guillauminii,219.454,0.151803,-0.00480671,0.0435668,0
4600000,Araucaria_columnaris,Agathis_montana,80.1313,0.0923454,-0.000730422,0.0745965,0
