generation,N_shifts,logPrior,logLik,eventRate,acceptRate
16200000,2,11.2281,-2119.79,5.2158,0.23245
16300000,3,20.1444,-2107.09,1.21254,0.23209
16400000,5,31.321,-2099.73,3.5464,0.30435
16500000,4,22.6502,-2119.85,2.44698,0.306251
16600000,8,51.4595,-2104.12,2.66308,0.31349
16700000,4,28.098,-2114.53,1.51756,0.2932
16800000,3,19.9061,-2123.53,2.23706,0.236002
16900000,3,20.4061,-2111.54,2.46527,0.25191
17000000,5,30.4475,-2105.72,4.63303,0.311225
17100000,4,25.905,-2115.57,3.00913,0.2685
17200000,4,19.0525,-2115.38,4.7292,0.26163
17300000,3,21.0879,-2110.78,0.85399,0.23139
17400000,3,21.4195,-2107.32,1.18785,0.212173
17500000,2,11.31,-2117.63,1.42256,0.259362
17600000,3,22.2193,-2115.47,1.95976,0.233273
17700000,3,18.9673,-2115.98,3.52315,0.26918
17800000,3,19.0168,-2107.19,2.25228,0.223752
17900000,5,34.4601,-2105.29,1.99325,0.26081
18000000,3,24.4447,-2123.73,0.918777,0.28757
18100000,2,12.8675,-2115.63,0.460584,0.230822
18200000,3,20.1606,-2110.39,2.14468,0.31546
18300000,4,26.5309,-2110.22,4.19421,0.25843
18400000,2,14.0373,-2117.42,1.08582,0.222342
18500000,4,23.4594,-2104.97,2.97508,0.219773
18600000,4,26.6865,-2110.47,1.21972,0.24969
18700000,3,16.1655,-2106.47,3.07212,0.23355
18800000,2,12.8766,-2122.86,3.25898,0.206803
18900000,3,17.7773,-2107.29,2.86913,0.243577
19000000,5,34.3385,-2114.47,2.90383,0.27528
19100000,4,26.7864,-2110.37,4.15643,0.20076
19200000,3,21.5743,-2119.8,1.19053,0.253817
19300000,4,27.5659,-2111.79,1.14107,0.25579
19400000,5,29.218,-2107.83,3.79225,0.252933
19500000,2,12.0218,-2119.53,1.14302,0.22914
19600000,1,9.64414,-2135.81,0.778723,0.268486
19700000,1,9.49794,-2136.45,1.09245,0.28949
19800000,3,19.05,-2106.4,1.4179,0.244415
19900000,1,9.13055,-2135.99,0.779283,0.28213
20000000,2,12.3775,-2117.66,2.08954,0.178945
20100000,2,13.2341,-2117.9,1.65321,0.23373
20200000,2,11.3222,-2114.96,1.81281,0.155405
20300000,3,20.148,-2111.8,3.03426,0.21837
20400000,3,20.6408,-2118.73,1.84021,0.21237
20500000,2,13.7306,-2126.5,1.6315,0.221268
20600000,3,20.1788,-2105.27,0.845604,0.216457
20700000,4,26.5325,-2102.79,1.64093,0.251596
20800000,6,31.5652,-2108.65,4.95761,0.30528
